File,BLEU,Precisions,Brevity Penalty,Length Ratio,Translation Length,Reference Length
157_Der_Sperling_und_seine_vier_Ki_en(1).txt,0.15415036147080527,"[0.5199409158050221, 0.22099039172209903, 0.10059171597633136, 0.04885270170244264]",1.0,1.2253393665158372,1354,1105
2_Katze_und_Maus_in_Gesellschaft_en(1).txt,0.0,"[0.3081761006289308, 0.06474820143884892, 0.008100810081008101, 0.0]",1.0,1.8519134775374375,1113,601
55_Rumpelstilzchen_en(1).txt,0.30714620583753777,"[0.7321711568938193, 0.401268834258525, 0.2365079365079365, 0.13820492454328834]",0.981162257838828,0.9813374805598756,1262,1286
105_Märchen_von_der_Unke_en.txt,0.1997118674473974,"[0.493491124260355, 0.24881516587677724, 0.1435349940688019, 0.09026128266033254]",1.0,1.3920922570016474,845,607
42_Der_Herr_Gevatter_en(1).txt,0.1649918489899542,"[0.3352240499149178, 0.20715096481271283, 0.12776831345826234, 0.08352272727272728]",1.0,2.3824324324324326,1763,740
86_Der_Fuchs_und_die_G_nse_en.txt,0.3456403649311398,"[0.7658730158730159, 0.47410358565737054, 0.3, 0.18875502008032127]",0.9127713742781574,0.9163636363636364,252,275
"23_Von_dem_M_uschen,_V_gelchen_un_en(1).txt",0.32611129690051804,"[0.7355371900826446, 0.42758620689655175, 0.25, 0.14384508990318118]",1.0,1.0125523012552302,726,717
76_Die_Nelke_en.txt,0.31980227930309274,"[0.7735, 0.43621810905452724, 0.24824824824824826, 0.1442163244867301]",0.964640293483123,0.9652509652509652,2000,2072
94_Die_kluge_Bauerntochter_en.txt,0.29482306588048596,"[0.7705456936226167, 0.43157894736842106, 0.2304147465437788, 0.13306982872200263]",0.9277892341766824,0.9302752293577982,1521,1635
80_Von_dem_Tode_des_H_hnchens_en(1).txt,0.32272420379990213,"[0.7300531914893617, 0.4340878828229028, 0.256, 0.15353805073431243]",0.9660163996164445,0.9665809768637532,752,778
26_Rothk_ppchen_en(1).txt,0.25968371008728597,"[0.7336884154460719, 0.3864090606262492, 0.20933333333333334, 0.11274182788525684]",0.9079754398220465,0.9119611414693382,1502,1647
118_Die_drei_Feldscherer_en(1).txt,0.3283373665366005,"[0.7765505522514868, 0.4481292517006803, 0.26978723404255317, 0.1686541737649063]",0.9255980515643836,0.9282334384858044,1177,1268
138_Knoist_un_sine_dre_S_hne_en(1).txt,0.2268252477262932,"[0.6141304347826086, 0.31693989071038253, 0.15384615384615385, 0.08839779005524862]",1.0,1.0635838150289016,184,173
120_Die_drei_Handwerksburschen_en.txt,0.0,"[0.05168776371308017, 0.0008440599282549061, 0.0, 0.0]",1.0,3.32398316970547,4740,1426
146_Die_R_be_en(1).txt,0.23896889208419,"[0.7298355520751761, 0.34247648902821315, 0.17333333333333334, 0.09026687598116169]",0.9555970499382138,0.9565543071161049,1277,1335
41_Herr_Korbes_en(1).txt,0.34623360295587635,"[0.7321016166281755, 0.44675925925925924, 0.28074245939675174, 0.19534883720930232]",0.9460808469099232,0.9474835886214442,433,457
135_Die_wei_e_und_die_schwarze_Bra_en(1).txt,0.3127768400489469,"[0.7579075425790754, 0.43213633597078516, 0.25334957369062117, 0.16940889701401585]",0.9083667647861255,0.9123196448390677,1644,1802
53_Sneewittchen_en(1).txt,0.19394779537923784,"[0.772567409144197, 0.4171227521501173, 0.21079389910050841, 0.1146322378716745]",0.6528953561652395,0.7010958904109589,2559,3650
31_Das_M_dchen_ohne_H_nde_en(1).txt,0.3148277417343766,"[0.7670915411355735, 0.4277434312210201, 0.24739080015461926, 0.1477184841453983]",0.9513947742278812,0.9525386313465783,2589,2718
79_Die_Wassernixe_en(1).txt,0.29215413835268667,"[0.7176470588235294, 0.35398230088495575, 0.21301775147928995, 0.1394658753709199]",0.9912152836838231,0.9912536443148688,340,343
159_Das_Dietmarsische_L_genm_rchen_en.txt,0.4352954559633667,"[0.7873303167420814, 0.5454545454545454, 0.3926940639269406, 0.28440366972477066]",0.930160441432215,0.9324894514767933,221,237
141_Das_L_mmchen_und_Fischchen_en(1).txt,0.2971305562413204,"[0.7589820359281437, 0.4197901049475262, 0.23723723723723725, 0.15037593984962405]",0.909999365025638,0.9138166894664843,668,731
126_Ferenand_getrü_und_Ferenand_un_en.txt,0.24429810138905078,"[0.6672171758876961, 0.3436596447748864, 0.17396694214876032, 0.08929309632079371]",1.0,1.0346005980350277,2422,2341
38_Die_Hochzeit_der_Frau_F_chsin_en.txt,0.2582798648746161,"[0.6826280623608018, 0.3600891861761427, 0.21316964285714285, 0.12737430167597766]",0.9036290887012459,0.9079878665318504,898,989
49_Die_sechs_Schw_ne_en(1).txt,0.3561582471618171,"[0.7965697951405432, 0.4861773117254528, 0.30424415832141155, 0.1946564885496183]",0.9151991148378724,0.9185995623632385,2099,2285
154_Der_gestohlene_Heller_en(1).txt,0.3776977530407693,"[0.7989276139410187, 0.48655913978494625, 0.31266846361185985, 0.21891891891891893]",0.935172636577339,0.9371859296482412,373,398
123_Die_Alte_im_Wald_en(1).txt,0.3144157863060278,"[0.75626204238921, 0.42815814850530376, 0.24806949806949807, 0.13816425120772946]",0.9687081419919574,0.969187675070028,1038,1071
50_Dornr_schen_en(1).txt,0.3057530531038477,"[0.7864077669902912, 0.45665171898355755, 0.2617801047120419, 0.15494011976047903]",0.8801109990219081,0.8867549668874172,1339,1510
25_Die_sieben_Raben_en(1).txt,0.3742051407545196,"[0.7760617760617761, 0.4792270531400966, 0.30947775628626695, 0.2042594385285576]",0.9556468906876301,0.9566020313942751,1036,1083
"36_Tischchen_deck_dich,_Goldesel,_en(1).txt",0.27633552225984687,"[0.7716246018132811, 0.4267156862745098, 0.22603579308654081, 0.12702305051495832]",0.8862078833507341,0.8922168780061216,4081,4574
96_De_drei_V_gelkens_en(1).txt,0.23623684714613122,"[0.6374207188160677, 0.328397673188789, 0.1693121693121693, 0.08787718369507676]",1.0,1.1309025702331141,1892,1673
65_Allerleirauh_en(1).txt,0.3541183285323037,"[0.8209021884769987, 0.5013404825737265, 0.31113097898971837, 0.20617173524150267]",0.8785151659144965,0.8853301700276789,2239,2529
92_Der_König_vom_goldenen_Berg_en.txt,0.21777864499031757,"[0.7426124197002142, 0.38774635818337616, 0.18945563651950278, 0.09777015437392796]",0.8058595361648168,0.8224727016555125,2335,2839
45_Daumerlings_Wanderschaft_en(1).txt,0.2559748789023562,"[0.6681818181818182, 0.3486609398686205, 0.179474216380182, 0.10268082953970663]",1.0,1.0371922472498691,1980,1909
85_Die_Goldkinder_en.txt,0.30686193231304454,"[0.7570647219690064, 0.4208846329229366, 0.23813868613138686, 0.13920584208124145]",0.9571877724142765,0.9580786026200874,2194,2290
115_Die_klare_Sonne_bringts_an_den_en(1).txt,0.2982768611238944,"[0.7428087986463621, 0.39152542372881355, 0.23429541595925296, 0.1564625850340136]",0.9282538070604905,0.9307086614173228,591,635
111_Der_gelernte_J_ger_en.txt,0.24639301652452852,"[0.7477178423236515, 0.39892071398920714, 0.1989202657807309, 0.09804736186123805]",0.8921617008802697,0.8975791433891993,2410,2685
20_Das_tapfere_Schneiderlein_en.txt,0.017544887483852082,"[0.13467589679043424, 0.05067673906200818, 0.008816120906801008, 0.0015748031496062992]",1.0,5.287853577371048,3178,601
131_Die_sch_ne_Katrinelje_und_Pif__en(1).txt,0.0,"[0.08207604103802052, 0.009057971014492754, 0.0, 0.0]",1.0,3.690423162583519,1657,449
1_Der_Froschk_nig_oder_der_eiser_en(1).txt,0.0464329790143171,"[0.577245508982036, 0.15038945476333135, 0.024580335731414868, 0.004199160167966407]",0.8486810366206462,0.8590534979423868,1670,1944
139_Dat_M_ken_von_Brakel_en.txt,0.07812794088044611,"[0.44565217391304346, 0.15300546448087432, 0.04945054945054945, 0.011049723756906077]",1.0,1.1428571428571428,184,161
87_Der_Arme_und_der_Reiche_en(1).txt,0.3018465348118726,"[0.7797260273972603, 0.43475877192982454, 0.24684585847504115, 0.14654226125137212]",0.9070712769390498,0.9111333000499251,1825,2003
17_Die_wei_e_Schlange_en.txt,0.0,"[0.16657126502575845, 0.05154639175257732, 0.007449856733524355, 0.0]",1.0,3.9170403587443947,1747,446
22_Das_Räthsel_en.txt,0.3939299807324939,"[0.8142389525368249, 0.5184275184275184, 0.3368852459016393, 0.24036095159967186]",0.9161626406306739,0.9194883370955605,1222,1329
32_Der_gescheidte_Hans_en(1).txt,0.2465810840091003,"[0.6129032258064516, 0.34409448818897637, 0.18991331757289204, 0.1056782334384858]",0.9667342612987707,0.967275494672755,1271,1314
158_Das_M_rchen_vom_Schlauraffenla_en.txt,0.28699324884225175,"[0.7249283667621776, 0.4109195402298851, 0.23054755043227665, 0.13005780346820808]",0.9335433225847017,0.935656836461126,349,373
114_Vom_klugen_Schneiderlein_en.txt,0.30957032192906664,"[0.748868778280543, 0.41509433962264153, 0.24622356495468278, 0.1617535903250189]",0.9280583848330808,0.9305263157894736,1326,1425
24_Frau_Holle_en(1).txt,0.30195281476143837,"[0.7628205128205128, 0.4322373696872494, 0.24398073836276082, 0.15180722891566265]",0.9083242631244284,0.9122807017543859,1248,1368
125_Der_Teufel_und_seine_Gro_mutte_en(1).txt,0.3774840325358891,"[0.8083090379008746, 0.5025528811086798, 0.32262773722627736, 0.21475529583637692]",0.9216104472977248,0.9245283018867925,1372,1484
150_Die_alte_Bettelfrau_en(1).txt,0.3560541750504975,"[0.6398104265402843, 0.43333333333333335, 0.3014354066985646, 0.19230769230769232]",1.0,1.1283422459893049,211,187
201_heavenly_wedding_en(1).txt,0.25273061350649795,"[0.7030965391621129, 0.3686131386861314, 0.19926873857404023, 0.11538461538461539]",0.9096297153506075,0.913477537437604,549,601
21_Aschenbuttel_en(1).txt,0.2572490582096215,"[0.8509615384615384, 0.5339105339105339, 0.31231953801732437, 0.19932595089070776]",0.6272901075778818,0.6819672131147541,2080,3050
11_Br_derchen_und_Schwesterchen_en(1).txt,0.07756043712730055,"[0.581958195819582, 0.20726338958180485, 0.04807339449541284, 0.006240822320117474]",1.0,1.0156424581005588,2727,2685
133_Die_zertanzten_Schuhe_en.txt,0.31345609109392425,"[0.6883047210300429, 0.4020397208803006, 0.23523093447905477, 0.14830736163353037]",1.0,1.104919976289271,1864,1687
90_Der_junge_Riese_en(1).txt,0.19162592511597257,"[0.6981897627965044, 0.32969091476740553, 0.14553404122423486, 0.06997813183380194]",0.8708681692911268,0.8785302988757884,3204,3647
137_De_drei_schwatten_Princessinne_en.txt,0.29788894748794126,"[0.72375, 0.3879849812265332, 0.22055137844611528, 0.1329987452948557]",0.9888130446112331,0.9888751545117429,800,809
57_Der_goldene_Vogel_en(1).txt,0.30438306197231346,"[0.763317191283293, 0.44020587344838025, 0.23864324651726226, 0.14056346561647987]",0.9341677307729576,0.9362425616321904,3304,3529
15_H_nsel_und_Grethel_en.txt,0.3144736974765165,"[0.7716486902927581, 0.4445129469790382, 0.2556275053962381, 0.15330043183220235]",0.9235716161370483,0.9263488438481302,3245,3503
131_Die_schöne_Katrinelje_und_Pif__en.txt,0.1304876841353056,"[0.48367346938775513, 0.22085889570552147, 0.08811475409836066, 0.030800821355236138]",1.0,1.0913140311804008,490,449
40_Der_R_uberbr_utigam_en(1).txt,0.3408464013488322,"[0.7678904791537026, 0.44084682440846823, 0.25981308411214954, 0.16209476309226933]",0.9864031775396499,0.9864947820748926,1607,1629
88_Das_singende_springende_L_wene_en(1).txt,0.2148991138044693,"[0.7951388888888888, 0.428287841191067, 0.21449851042701093, 0.11872826626924987]",0.704198892869419,0.7403598971722365,2016,2723
116_Das_blaue_Licht_en(1).txt,0.2754021877905612,"[0.7235853780671007, 0.374248496993988, 0.20852130325814536, 0.11534603811434303]",0.9694304257906323,0.9698882952889752,1997,2059
149_Der_Hahnenbalken_en(1).txt,0.35739830102069303,"[0.718266253869969, 0.4161490683229814, 0.2772585669781931, 0.196875]",1.0,1.009375,323,320
12_Rapunzel_en.txt,0.0424590614318802,"[0.5838926174496645, 0.15782404298186703, 0.02956989247311828, 0.004034969737726967]",0.7373460291656404,0.7664609053497943,1490,1944
128_Die_faule_Spinnerin_en(1).txt,0.28049380680061337,"[0.7224199288256228, 0.3669833729216152, 0.2235434007134364, 0.14285714285714285]",0.9246945474780706,0.9273927392739274,843,909
145_Der_undankbare_Sohn_en(1).txt,0.2737052925901398,"[0.6758241758241759, 0.34806629834254144, 0.21666666666666667, 0.12290502793296089]",0.9729014102470348,0.9732620320855615,182,187
"18_Strohhalm,_Kohle_und_Bohne_en(1).txt",0.0025255496213706097,"[0.6392294220665499, 0.19473684210526315, 0.04569420035149385, 0.0035211267605633804]",0.03775235086532321,0.23382473382473382,571,2442
47_Von_dem_Machandelboom_en.txt,0.2432175945217237,"[0.7537606278613472, 0.4102060843964671, 0.21891361256544503, 0.1181669394435352]",0.8132871556500492,0.8287262872628727,3058,3690
132_Der_Fuchs_und_das_Pferd_en(1).txt,0.31053643706060213,"[0.6408227848101266, 0.38351822503961963, 0.23333333333333334, 0.16216216216216217]",1.0,1.1305903398926656,632,559
200_Der_goldene_Schl_ssel_en(1).txt,0.3091942968220074,"[0.7835051546391752, 0.44559585492227977, 0.2604166666666667, 0.1518324607329843]",0.9020432748618079,0.9065420560747663,194,214
91_Dat_Erdmänneken_en.txt,0.22138858967377995,"[0.6565874730021598, 0.3271391529818496, 0.14526588845654995, 0.07698961937716263]",1.0,1.1018562589243217,2315,2101
30_L_uschen_und_Fl_hchen_en.txt,0.2700410908201501,"[0.6608695652173913, 0.3797909407665505, 0.2164048865619546, 0.0979020979020979]",1.0,1.0105448154657293,575,569
147_Das_junggegl_hte_M_nnlein_en(1).txt,0.2720318884815541,"[0.7200674536256324, 0.36317567567567566, 0.21150592216582065, 0.12203389830508475]",0.9490663568810799,0.9503205128205128,593,624
112_Der_Dreschflegel_vom_Himmel_en(1).txt,0.261544058263803,"[0.7237851662404092, 0.38974358974358975, 0.2236503856041131, 0.12886597938144329]",0.8710051260676938,0.8786516853932584,391,445
52_K_nig_Drosselbart_en(1).txt,0.2552371305561622,"[0.6703967446592065, 0.3435114503816794, 0.17820773930753564, 0.10341314314824249]",1.0,1.0282426778242677,1966,1912
44_Der_Gevatter_Tod_en(1).txt,0.30844792558815753,"[0.7084148727984344, 0.3936031331592689, 0.23318092749836708, 0.1392156862745098]",1.0,1.071278825995807,1533,1431
99_Der_Geist_im_Glas_en(1).txt,0.3085129316854218,"[0.6506071288679984, 0.3871473354231975, 0.23637789102312817, 0.15215686274509804]",1.0,1.1902097902097901,2553,2145
148_Des_Herrn_und_des_Teufels_Geth_en(1).txt,0.22210403429670839,"[0.6357466063348416, 0.31065759637188206, 0.15454545454545454, 0.07972665148063782]",1.0,1.0574162679425838,442,418
46_Fitchers_Vogel_en(1).txt,0.36687984469988744,"[0.7920469361147328, 0.4827136333985649, 0.30156657963446476, 0.1992161985630307]",0.9424032344981174,0.944,1534,1625
28_Der_singende_Knochen_en.txt,0.3391833306980992,"[0.7441037735849056, 0.4332939787485242, 0.25886524822695034, 0.15857988165680473]",1.0,1.013142174432497,848,837
93_Die_Rabe_en.txt,0.4156154733839865,"[0.795203654358584, 0.5125666412795126, 0.3272380952380952, 0.22370426829268292]",1.0,1.0034377387318565,2627,2618
39_Die_Wichtelm_nner_en.txt,0.2894967031774885,"[0.6692810457516339, 0.37671680837148463, 0.21269633507853403, 0.13097576948264572]",1.0,1.1383928571428572,1530,1344
103_Der_s__e_Brei_en(1).txt,0.3701599608053123,"[0.7287581699346405, 0.46229508196721314, 0.28618421052631576, 0.19471947194719472]",1.0,1.0625,306,288
9_Die_zw_lf_Br_der_en(1).txt,0.046648939406580936,"[0.45666666666666667, 0.12672701286326823, 0.021448999046711152, 0.003814973772055317]",1.0,1.326595072646873,2100,1583
140_Das_Hausgesinde_en(1).txt,0.0,"[0.3843283582089552, 0.06741573033707865, 0.0037593984962406013, 0.0]",1.0,1.2293577981651376,268,218
48_Der_alte_Sultan_en(1).txt,0.37590416174280583,"[0.7709844559585493, 0.4616182572614108, 0.3073727933541018, 0.21101871101871103]",0.9643804254085748,0.965,965,1000
127_Der_Eisenofen_en(1).txt,0.20562223696624485,"[0.7241543592186755, 0.3679694947569113, 0.17405817835002385, 0.09208015267175572]",0.8043484363761889,0.8212050078247262,2099,2556
151_Die_drei_Faulen_en.txt,0.313811759574449,"[0.7721518987341772, 0.43771991555242784, 0.2605633802816901, 0.1543340380549683]",0.9190744153363744,0.9221789883268483,1422,1542
3_Marienkind_en.txt,0.0,"[0.1226145038167939, 0.02386634844868735, 0.0014326647564469914, 0.0]",1.0,3.6836555360281196,2096,569
108_Hans_mein_Jgel_en.txt,0.24047411886244827,"[0.7861020629750272, 0.44106463878326996, 0.23858695652173914, 0.1402936378466558]",0.7326589840521297,0.7627329192546584,1842,2415
106_Der_arme_M_llerbursch_und_das__en(1).txt,0.3637736828108914,"[0.7781371280724451, 0.48349514563106794, 0.3011658031088083, 0.19507453013609852]",0.9434473225043236,0.9449877750611247,1546,1636
97_Das_Wasser_des_Lebens_en(1).txt,0.11251650576125578,"[0.7539732994278449, 0.37150127226463103, 0.15467854869509867, 0.06050955414012739]",0.4972487021074961,0.5886976047904192,1573,2672
56_Der_Liebste_Roland_en(1).txt,0.3669581125787777,"[0.7642814191220686, 0.470517448856799, 0.29981938591210117, 0.19759036144578312]",0.9605121617133536,0.9612716763005781,1663,1730
102_Der_Zaunk_nig_und_der_B_r_en(1).txt,0.35814737867026075,"[0.777120315581854, 0.46495557749259625, 0.30335968379446643, 0.20178041543026706]",0.9287046650192516,0.931129476584022,1014,1089
10_Das_Lumpengesindel_en(1).txt,0.024450470043913576,"[0.6054827175208581, 0.15632458233890215, 0.023894862604540025, 0.0035885167464114833]",0.45808922512169664,0.5615796519410977,839,1494
69_Jorinde_und_Joringel_en.txt,0.3299487575915468,"[0.7456479690522244, 0.4443368828654405, 0.26647286821705424, 0.16100872938894278]",0.9555630362682843,0.9565217391304348,1034,1081
5_Der_Wolf_und_die_sieben_jungen_en(1).txt,0.011854428554172854,"[0.7061328790459966, 0.23785166240409208, 0.052901023890784986, 0.010247651579846286]",0.12135575042634981,0.32164383561643833,1174,3650
89_Die_G_nsemagd_en.txt,0.25199029173194193,"[0.7432721059376335, 0.38803418803418804, 0.19495510902094912, 0.10479041916167664]",0.9095263871017888,0.9133827545844713,2341,2563
142_Simeliberg_en(1).txt,0.34007308855326174,"[0.7270114942528736, 0.4199424736337488, 0.2591170825335892, 0.1690682036503362]",1.0,1.045045045045045,1044,999
117_Das_eigensinnige_Kind_en.txt,0.19994664474602575,"[0.689922480620155, 0.3671875, 0.1889763779527559, 0.0873015873015873]",0.786383983263185,0.80625,129,160
100_Des_Teufels_ru_iger_Bruder_en.txt,0.3126807788085893,"[0.7794759825327511, 0.4471959213401311, 0.25510204081632654, 0.15244347191830782]",0.9163689197775697,0.9196787148594378,1374,1494
78_Der_alte_Gro_vater_und_der_Enk_en.txt,0.39415562793972486,"[0.7230215827338129, 0.4620938628158845, 0.3188405797101449, 0.24]",0.9857145304114474,0.9858156028368794,278,282
109_Das_Todtenhemdchen_en(1).txt,0.38467445223660607,"[0.7526501766784452, 0.5070921985815603, 0.3309608540925267, 0.21428571428571427]",0.9483766613220972,0.9496644295302014,283,298
14_Die_drei_Spinnerinnen_en(1).txt,0.0,"[0.26258637709772953, 0.043478260869565216, 0.004945598417408506, 0.0]",1.0,1.944337811900192,1013,521
113_De_beiden_Künigeskinner_en.txt,0.17834365504748104,"[0.7630779615254809, 0.3720459149223498, 0.1702127659574468, 0.07702702702702703]",0.7220337262251177,0.7543279022403259,2963,3928
134_Die_sechs_Diener_en(1).txt,0.2884660761697178,"[0.737360472751149, 0.4009852216748768, 0.2204336399474376, 0.1268485047650345]",0.9566473791919229,0.9575605155611443,3046,3181
19_Von_dem_Fischer_un_syner_Fru_en(1).txt,0.045001440023731264,"[0.32004655222577827, 0.10331781140861467, 0.022416302765647742, 0.00553290623179965]",1.0,1.983266012694749,3437,1733
29_Der_Teufel_mit_den_drei_golden_en.txt,0.27816421702305744,"[0.665554881746513, 0.36882013952077647, 0.2087378640776699, 0.11684370257966616]",1.0,1.1000667111407605,3298,2998
98_Doctor_Allwissend_en.txt,0.21205905261454686,"[0.7221526908635795, 0.3609022556390977, 0.17063989962358847, 0.0829145728643216]",0.8605464068651485,0.8694232861806311,799,919
13_Die_drei_M_nnlein_im_Walde_en.txt,0.0,"[0.08305084745762711, 0.013565069944891903, 0.001272264631043257, 0.0]",1.0,5.256124721603563,2360,449
51_Fundevogel_en(1).txt,0.3256830908875252,"[0.7594202898550725, 0.43520309477756286, 0.27783155856727976, 0.18313953488372092]",0.9044004040777645,0.9086918349429324,1035,1139
110_Der_Jude_im_Dorn_en.txt,0.22684159850677083,"[0.7244174265450861, 0.35326913329954385, 0.16937119675456389, 0.08726534753932014]",0.9147000625996426,0.9181395348837209,1974,2150
124_Die_drei_Br_der_en.txt,0.24787492524868912,"[0.6943699731903485, 0.33691275167785234, 0.1827956989247312, 0.1009421265141319]",0.9670432444194723,0.9675745784695201,746,771
